,temp,rain_1h,snow_1h,clouds_all,weather_main,Rush Hour,traffic_volume,prediction
0,268.86,0.0,0.0,75,2,1,4871,4371.114818702039
1,267.68,0.0,0.0,40,2,1,4105,4180.864687736113
2,267.36,0.0,0.0,90,2,1,3464,4413.2550992029755
3,267.43,0.0,0.0,90,2,0,2972,2861.2490728962375
4,267.29,0.0,0.0,90,2,0,3096,2858.499245252736
5,267.51,0.0,0.0,90,9,0,2584,2455.2187336011375
6,266.82,0.0,0.0,90,9,0,1779,2441.666011643876
7,266.02,0.0,0.0,90,9,0,1141,2425.9527108238635
8,264.95,0.0,0.0,1,9,0,698,1980.093368382235
9,263.79,0.0,0.0,90,9,0,391,2382.1518847880816
10,263.55,0.0,0.0,90,9,0,359,2377.4378945420776
11,262.95,0.0,0.0,40,9,0,596,2126.977187132201
12,262.44,0.0,0.0,1,1,0,1016,2396.6233663475623
13,261.22,0.0,0.0,1,1,1,1390,3926.0415227255344
14,260.86,0.0,0.0,5,1,1,2008,3938.0645959001176
15,260.95,0.0,0.0,5,1,1,2819,3939.8323422423673
16,262.0,0.0,0.0,1,1,0,3375,2387.9810508965556
17,263.74,0.0,0.0,5,1,0,4002,2441.2515387236717
18,265.0,0.0,0.0,5,1,0,4175,2465.99998751519
19,266.22,0.0,0.0,20,2,0,4475,2503.336680893155
20,266.93,0.0,0.0,5,1,0,4305,2503.9083257434695
21,267.55,0.0,0.0,5,1,0,4107,2516.086133878979
22,267.55,0.0,0.0,1,1,0,4144,2496.99207533539
23,266.82,0.0,0.0,5,1,1,3994,4055.1286870092063
24,265.79,0.0,0.0,20,2,1,3532,4048.271721830888
25,265.15,0.0,0.0,90,2,1,2949,4369.8471056876915
26,264.82,0.0,0.0,75,2,0,2420,2738.3817094324877
27,265.02,0.0,0.0,1,1,0,2449,2447.298761492101
28,265.08,0.0,0.0,40,2,0,2372,2576.415519942584
29,264.75,0.0,0.0,75,2,0,1840,2737.006795610736
30,264.65,0.0,0.0,90,2,0,1147,2806.645352546695
31,264.72,0.0,0.0,90,2,0,963,2808.0202663684468
32,265.01,0.0,0.0,90,2,0,861,2813.716337915701
33,264.44,0.0,0.0,40,2,0,374,2563.8448792865747
34,264.22,0.0,0.0,75,2,0,303,2726.5967338174787
35,264.84,0.0,0.0,90,2,0,529,2810.377261491448
36,264.86,0.0,0.0,90,2,0,839,2810.7700940119485
