,holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,Rush Hour,traffic_volume,prediction
0,,268.86,0.0,0.0,75,1,1,4871,4424.549824861487
1,,267.68,0.0,0.0,40,1,1,4105,4240.245545008666
2,,267.36,0.0,0.0,90,1,1,3464,4465.8782673433
3,,267.43,0.0,0.0,90,1,0,2972,2914.4758143728277
4,,267.29,0.0,0.0,90,1,0,3096,2911.847187313995
5,,267.51,0.0,0.0,90,4,0,2584,2431.9552923849915
6,,266.82,0.0,0.0,90,4,0,1779,2418.99991616646
7,,266.02,0.0,0.0,90,4,0,1141,2403.979190115989
8,,264.95,0.0,0.0,1,4,0,698,1971.5679663199016
9,,263.79,0.0,0.0,90,4,0,391,2362.1089162503004
10,,263.55,0.0,0.0,90,4,0,359,2357.6026984351593
11,,262.95,0.0,0.0,40,4,0,596,2114.6961411424836
12,,262.44,0.0,0.0,1,1,0,1016,2408.4630329294314
13,,261.22,0.0,0.0,1,1,1,1390,3938.2731922023504
14,,260.86,0.0,0.0,5,1,1,2008,3950.045146500024
15,,260.95,0.0,0.0,5,1,1,2819,3951.7349781807015
16,,262.0,0.0,0.0,1,1,0,3375,2400.2016336016723
17,,263.74,0.0,0.0,5,1,0,4002,2451.402993781833
18,,265.0,0.0,0.0,5,1,0,4175,2475.060637311325
19,,266.22,0.0,0.0,20,1,0,4475,2567.45954836474
20,,266.93,0.0,0.0,5,1,0,4305,2511.298138908087
21,,267.55,0.0,0.0,5,1,0,4107,2522.9392015972026
22,,267.55,0.0,0.0,1,1,0,4144,2504.4079205768167
23,,266.82,0.0,0.0,5,1,1,3994,4061.949555576035
24,,265.79,0.0,0.0,20,1,1,3532,4112.1026746125
25,,265.15,0.0,0.0,90,1,1,2949,4424.383511628872
26,,264.82,0.0,0.0,75,1,0,2420,2795.9783918067187
27,,265.02,0.0,0.0,1,1,0,2449,2456.9048744422007
28,,265.08,0.0,0.0,40,1,0,2372,2638.7114188447467
29,,264.75,0.0,0.0,75,1,0,1840,2794.664078277303
30,,264.65,0.0,0.0,90,1,0,1147,2862.2787913474394
31,,264.72,0.0,0.0,90,1,0,963,2863.593104876857
32,,265.01,0.0,0.0,90,1,0,861,2869.0381180701515
33,,264.44,0.0,0.0,40,1,0,374,2626.6948380043696
34,,264.22,0.0,0.0,75,1,0,303,2784.7128472688664
35,,264.84,0.0,0.0,90,1,0,529,2865.8462137844263
36,,264.86,0.0,0.0,90,1,0,839,2866.2217319356887
37,,265.07,0.0,0.0,90,1,1,964,4422.881439023825
38,,264.99,0.0,0.0,90,4,1,1477,3937.3567718258946
39,,265.0,0.0,0.0,90,1,1,2250,4421.567125494409
40,,265.08,0.0,0.0,90,1,0,2929,2870.3524315995683
41,,265.75,0.0,0.0,90,4,0,3200,2398.909695073955
